Tiempo, Distancia, Error, setPoint, Control
5137,2.91,47.09,50.00,94.19
5149,2.50,47.50,50.00,94.19
5161,2.91,47.09,50.00,94.19
5173,2.91,47.09,50.00,94.19
5185,2.84,47.16,50.00,94.19
5197,2.43,47.57,50.00,94.19
5209,2.43,47.57,50.00,94.19
5221,2.84,47.16,50.00,94.19
5233,2.84,47.16,50.00,94.19
5245,2.79,47.21,50.00,94.43
5257,2.79,47.21,50.00,94.43
5269,2.36,47.64,50.00,94.43
5281,2.38,47.62,50.00,94.43
5293,2.31,47.69,50.00,94.43
5305,2.31,47.69,50.00,94.43
5317,2.72,47.28,50.00,94.43
5329,2.72,47.28,50.00,94.43
5341,2.67,47.33,50.00,94.43
5353,2.26,47.74,50.00,95.48
5365,2.67,47.33,50.00,95.48
5377,2.19,47.81,50.00,95.48
5389,2.62,47.38,50.00,95.48
5401,2.62,47.38,50.00,95.48
5413,2.55,47.45,50.00,95.48
5425,2.55,47.45,50.00,95.48
5437,2.50,47.50,50.00,95.48
5449,2.55,47.45,50.00,95.48
5461,2.55,47.45,50.00,94.90
5473,2.55,47.45,50.00,94.90
5485,2.55,47.45,50.00,94.90
5497,2.55,47.45,50.00,94.90
5509,2.55,47.45,50.00,94.90
5521,2.55,47.45,50.00,94.90
5533,3.03,46.97,50.00,94.90
5545,3.03,46.97,50.00,94.90
5557,2.60,47.40,50.00,94.90
5569,2.19,47.81,50.00,95.62
5581,2.60,47.40,50.00,95.62
5593,2.60,47.40,50.00,95.62
5605,2.60,47.40,50.00,95.62
5617,2.67,47.33,50.00,95.62
5629,2.72,47.28,50.00,95.62
5641,2.67,47.33,50.00,95.62
5653,2.67,47.33,50.00,95.62
5665,2.67,47.33,50.00,95.62
5677,2.67,47.33,50.00,94.66
5689,2.26,47.74,50.00,94.66
5701,2.67,47.33,50.00,94.66
5713,2.72,47.28,50.00,94.66
5725,2.72,47.28,50.00,94.66
5737,2.31,47.69,50.00,94.66
5749,2.31,47.69,50.00,94.66
5761,2.31,47.69,50.00,94.66
5773,2.31,47.69,50.00,94.66
5785,2.31,47.69,50.00,95.38
5797,2.31,47.69,50.00,95.38
5809,2.31,47.69,50.00,95.38
5821,2.31,47.69,50.00,95.38
5833,2.79,47.21,50.00,95.38
5845,2.79,47.21,50.00,95.38
5857,2.79,47.21,50.00,95.38
5869,2.79,47.21,50.00,95.38
5881,2.38,47.62,50.00,95.38
5893,2.79,47.21,50.00,94.43
5905,2.79,47.21,50.00,94.43
5917,2.79,47.21,50.00,94.43
5929,2.79,47.21,50.00,94.43
5941,2.79,47.21,50.00,94.43
5953,2.79,47.21,50.00,94.43
5965,2.38,47.62,50.00,94.43
5977,2.79,47.21,50.00,94.43
5989,2.79,47.21,50.00,94.43
6001,2.38,47.62,50.00,95.24
6013,2.36,47.64,50.00,95.24
6025,2.36,47.64,50.00,95.24
6037,2.79,47.21,50.00,95.24
6049,2.79,47.21,50.00,95.24
6061,2.79,47.21,50.00,95.24
6073,3.20,46.80,50.00,95.24
6085,2.79,47.21,50.00,95.24
6097,2.79,47.21,50.00,95.24
6109,2.72,47.28,50.00,94.56
6121,2.79,47.21,50.00,94.56
6133,2.79,47.21,50.00,94.56
6145,2.79,47.21,50.00,94.56
6157,2.36,47.64,50.00,94.56
6169,2.79,47.21,50.00,94.56
6181,2.79,47.21,50.00,94.56
6193,3.26,46.74,50.00,94.56
6205,3.26,46.74,50.00,94.56
6217,2.79,47.21,50.00,94.43
6229,3.26,46.74,50.00,94.43
6241,2.84,47.16,50.00,94.43
6253,2.43,47.57,50.00,94.43
6265,2.43,47.57,50.00,94.43
6277,2.84,47.16,50.00,94.43
6289,2.91,47.09,50.00,94.43
6301,2.91,47.09,50.00,94.43
6313,2.91,47.09,50.00,94.43
6325,2.50,47.50,50.00,95.00
6337,2.91,47.09,50.00,95.00
6349,2.91,47.09,50.00,95.00
6361,2.86,47.14,50.00,95.00
6373,2.84,47.16,50.00,95.00
6385,2.84,47.16,50.00,95.00
6397,2.84,47.16,50.00,95.00
6409,2.84,47.16,50.00,95.00
6421,2.84,47.16,50.00,95.00
6433,2.84,47.16,50.00,94.32
6445,3.26,46.74,50.00,94.32
6457,3.26,46.74,50.00,94.32
6469,2.79,47.21,50.00,94.32
6481,2.43,47.57,50.00,94.32
6493,2.43,47.57,50.00,94.32
6505,2.43,47.57,50.00,94.32
6517,2.43,47.57,50.00,94.32
6529,2.84,47.16,50.00,94.32
6541,2.43,47.57,50.00,95.14
6553,2.84,47.16,50.00,95.14
6565,2.91,47.09,50.00,95.14
6577,2.91,47.09,50.00,95.14
6589,2.48,47.52,50.00,95.14
6601,2.91,47.09,50.00,95.14
6613,2.91,47.09,50.00,95.14
6625,2.91,47.09,50.00,95.14
6637,2.43,47.57,50.00,95.14
6649,2.84,47.16,50.00,94.32
6661,2.84,47.16,50.00,94.32
6673,2.84,47.16,50.00,94.32
6685,2.84,47.16,50.00,94.32
6697,2.86,47.14,50.00,94.32
6709,3.31,46.69,50.00,94.32
6721,3.33,46.67,50.00,94.32
6733,2.91,47.09,50.00,94.32
6745,2.91,47.09,50.00,94.32
6757,2.91,47.09,50.00,94.19
6769,2.91,47.09,50.00,94.19
6781,2.91,47.09,50.00,94.19
6793,2.91,47.09,50.00,94.19
6805,2.43,47.57,50.00,94.19
6817,2.43,47.57,50.00,94.19
6829,2.86,47.14,50.00,94.19
6841,2.43,47.57,50.00,94.19
6853,2.86,47.14,50.00,94.19
6865,2.43,47.57,50.00,95.14
6877,2.43,47.57,50.00,95.14
6889,2.82,47.18,50.00,95.14
6901,2.86,47.14,50.00,95.14
6913,2.43,47.57,50.00,95.14
6925,2.43,47.57,50.00,95.14
6937,2.43,47.57,50.00,95.14
6949,2.43,47.57,50.00,95.14
6961,2.43,47.57,50.00,95.14
6973,2.84,47.16,50.00,94.32
6985,2.84,47.16,50.00,94.32
6997,2.91,47.09,50.00,94.32
7009,3.31,46.69,50.00,94.32
7021,2.84,47.16,50.00,94.32
7033,2.91,47.09,50.00,94.32
7045,2.91,47.09,50.00,94.32
7057,2.91,47.09,50.00,94.32
7069,2.91,47.09,50.00,94.32
7081,2.91,47.09,50.00,94.19
7093,2.91,47.09,50.00,94.19
7105,2.91,47.09,50.00,94.19
7117,2.91,47.09,50.00,94.19
7129,2.96,47.04,50.00,94.19
7141,2.91,47.09,50.00,94.19
7153,2.91,47.09,50.00,94.19
7165,2.91,47.09,50.00,94.19
7177,2.50,47.50,50.00,94.19
7189,2.50,47.50,50.00,95.00
7201,2.91,47.09,50.00,95.00
7213,2.91,47.09,50.00,95.00
7225,2.91,47.09,50.00,95.00
7237,2.91,47.09,50.00,95.00
7249,2.91,47.09,50.00,95.00
7261,2.91,47.09,50.00,95.00
7273,2.91,47.09,50.00,95.00
7285,2.91,47.09,50.00,95.00
7297,3.33,46.67,50.00,93.34
7309,3.31,46.69,50.00,93.34
7321,3.33,46.67,50.00,93.34
7333,3.33,46.67,50.00,93.34
7345,2.91,47.09,50.00,93.34
7357,2.91,47.09,50.00,93.34
7369,2.97,47.03,50.00,93.34
7381,2.97,47.03,50.00,93.34
7393,2.97,47.03,50.00,93.34
7405,2.97,47.03,50.00,94.05
7417,3.38,46.62,50.00,94.05
7429,3.38,46.62,50.00,94.05
7441,2.97,47.03,50.00,94.05
7453,3.38,46.62,50.00,94.05
7465,3.38,46.62,50.00,94.05
7477,2.97,47.03,50.00,94.05
7489,3.38,46.62,50.00,94.05
7501,2.91,47.09,50.00,94.05
7513,2.97,47.03,50.00,94.05
7525,2.91,47.09,50.00,94.05
7537,2.91,47.09,50.00,94.05
7549,2.91,47.09,50.00,94.05
7561,2.91,47.09,50.00,94.05
7573,2.43,47.57,50.00,94.05
7585,2.86,47.14,50.00,94.05
7597,2.86,47.14,50.00,94.05
7609,2.86,47.14,50.00,94.05
7621,2.79,47.21,50.00,94.43
7633,2.84,47.16,50.00,94.43
7645,2.86,47.14,50.00,94.43
7657,2.84,47.16,50.00,94.43
7669,2.84,47.16,50.00,94.43
7681,2.79,47.21,50.00,94.43
7693,2.79,47.21,50.00,94.43
7705,2.38,47.62,50.00,94.43
7717,2.36,47.64,50.00,94.43
7729,2.79,47.21,50.00,94.43
7741,2.74,47.26,50.00,94.43
7753,2.72,47.28,50.00,94.43
7765,2.72,47.28,50.00,94.43
7777,2.74,47.26,50.00,94.43
7789,2.26,47.74,50.00,94.43
7801,2.67,47.33,50.00,94.43
7813,2.26,47.74,50.00,94.43
7825,2.24,47.76,50.00,94.43
7837,2.67,47.33,50.00,94.66
7849,2.67,47.33,50.00,94.66
7861,2.67,47.33,50.00,94.66
7873,2.67,47.33,50.00,94.66
7885,2.67,47.33,50.00,94.66
7897,2.19,47.81,50.00,94.66
7909,2.19,47.81,50.00,94.66
7921,2.60,47.40,50.00,94.66
7933,2.19,47.81,50.00,94.66
7945,2.62,47.38,50.00,94.77
7957,2.19,47.81,50.00,94.77
7969,2.19,47.81,50.00,94.77
7981,2.60,47.40,50.00,94.77
7993,2.19,47.81,50.00,94.77
8005,2.62,47.38,50.00,94.77
8017,2.60,47.40,50.00,94.77
8029,2.62,47.38,50.00,94.77
8041,2.60,47.40,50.00,94.77
8053,2.19,47.81,50.00,95.62
